scac,pol,pod,tsp,service_codes
COSU,CNZSN,ALDRZ,CNNSA;GRPIR,;;AIG
COSU,CNSHA,FRFOS,GRPIR,AEU3;AEM1
COSU,CNSHA,FRFOS,,
COSU,CNSHA,FRFOS,GRPIR,;AEM1
COSU,CNSHA,FRFOS,,AEM1
COSU,INMUN,ITRAN,GRPIR,MINA;AGX
COSU,INMUN,ITRAN,ITGOA,MINA
COSU,INMUN,ITRAN,GRPIR;ITSPE,MINA;AEM1
COSU,INMUN,ITRAN,GRPIR;ITAOI,MINA;AGT
MAEU,CNTAO,AEJEA,MYTPP,;
MAEU,CNFOC,PLGDN,MYTPP,;
MSCU,INENR,USCHS,ESVLC;PTSIE,;;
MSCU,INENR,USCHS,LKCMB;ESVLC;PTSIE,;;;
MSCU,ZADUR,NLRTM,,
MSCU,AUMEL,GBLIV,ESVLC,;
COSU,LKCMB,AEJEA,,AGI
COSU,DEHAM,CNSJQ,CNNSA,;
COSU,DEHAM,CNSJQ,CNYTN,;
COSU,DEHAM,CNSJQ,CNYTN,AEU5;
COSU,CNSHA,VNSGN,,CV1
COSU,CNSHA,VNSGN,,CKI
COSU,CNSHA,VNSGN,,CV2
COSU,INMUN,JOAQB,SAJED,MINA;RES2
COSU,INMUN,JOAQB,SAJED,MINA;
MAEU,CNYTN,CRPTC,PABLB,;
MAEU,CNYTN,CRPTC,KRPUS;PABLB,;AC3;
MAEU,CNNGB,YEADE,SAKAC;SAJED,;;
MSCU,VNVUT,USLGB,,SENTOSA
MSCU,CNYTN,COBUN,KRPUS,;
MSCU,BEANR,AEAJM,AEAUH,;
MSCU,BEANR,BRRIG,,
COSU,CLSAI,DEHAM,,EWX
COSU,CLSAI,DEHAM,BEANR;DEBRV,EWX;TAE
COSU,DEHAM,HKHKG,,
COSU,CNSHK,BRMAO,PAMIT,CAX1;BZX2
COSU,INMUN,NZLYT,SGSIN,PMX;NZS
COSU,INMUN,NZLYT,CNSHA,PMX;
COSU,INMUN,NZLYT,HKHKG,AIS;JKN
COSU,INMUN,NZLYT,SGSIN,AGI;NZS
COSU,INMUN,NZLYT,SGSIN,AS1;NZS
COSU,INMUN,NZLYT,CNSHA,AS1;
MAEU,EGPSE,GBLGP,,
MAEU,CNNSA,HNPCR,KRPUS;PABLB;PAMIT,;;;
MAEU,CNNSA,HNPCR,KRPUS;PABLB;PAMIT,;AC3;;
MSCU,CNNSA,HNPCR,CNYTN;PACTB,;;
MSCU,DKFRC,CIABJ,BEANR,;
MSCU,BEANR,SAJED,,
MSCU,BEANR,ESLPA,,
COSU,CNSHA,SADMM,,MEX
COSU,DEHAM,KWKWI,AEJEA,;KAX
COSU,DEHAM,KWKWI,AEJEA,
COSU,DEHAM,KWKWI,AEKHL,;KAX
COSU,CNSHK,PABLB,,CAX1
COSU,CNSHK,PABLB,,WSA
COSU,INMUN,OMSOH,AEJEA,ASX
COSU,INMUN,OMSOH,AEJEA,ASX;MEX4
MAEU,GBLGP,ZADUR,ESALG,;
MAEU,GBLGP,ZADUR,,
MAEU,CNSHA,ARZAE,BRIOA,;
MAEU,CNSHA,ARZAE,MAPTM;BRIOA,;;
MAEU,CNSHA,ARZAE,MYTPP;MAPTM;BRIOA,;;;
MSCU,CNTAO,USNYC,KRPUS,;
MSCU,CNTAO,USNYC,KRPUS,;SANTANA SERVICE
MSCU,ESALG,SEGOT,PTSIE;BEANR,;;
MSCU,BEANR,TRIZM,,
MSCU,BEANR,IQUQR,AEAUH,;
COSU,INNSA,DEBRV,,
COSU,HKHKG,INMAA,SGSIN,ESA;FCS
COSU,HKHKG,INMAA,SGSIN,ESA;FCE
COSU,HKHKG,INMAA,SGSIN,AEM1;FCS
COSU,HKHKG,INMAA,,FCE
COSU,INMUN,TRMER,GRPIR,MINA;NET2
MAEU,LKCMB,NLRTM,,
MAEU,LKCMB,NLRTM,MAPTM,;
MAEU,CNSHA,BRRIG,BRIOA,;
MSCU,DEBRV,USOAK,PTSIE,;
MSCU,GBBEL,ILASH,BEANR,;
MSCU,BEANR,USMSY,,
COSU,SIKOP,AUMEL,MYPKG,;AAA2
COSU,SIKOP,AUMEL,MYPKG,;ASAL
COSU,SIKOP,AUMEL,GRPIR;SGSIN,AGT;AEM1;AAA1
COSU,SIKOP,AUMEL,GRPIR;SGSIN,AGT;AEM1;AAA2
COSU,HRRJK,CNDLC,GRPIR;SGSIN,AGT;AEM1;CSE
COSU,HRRJK,CNDLC,MYPKG,;PA1
COSU,HRRJK,CNDLC,GRPIR;SGSIN,PRS;AEM1;CSE
COSU,CNTAO,BEANR,CNNGB;BEZEE,CII;AEU1
